Date,Price,Open,High,Low,Change %
1/8/18,1129.3,1115.9,1225,968.12,1.21
1/7/18,1115.8,1004.3,1116,999.5,11.1
1/6/18,1004.3,962.77,1014.2,951.38,4.31
1/5/18,962.77,939.3,1023.6,930,2.42
1/4/18,940,942.01,997,893.24,-0.21
1/3/18,942.01,858.78,954.73,840,9.69
1/2/18,858.78,752.46,890,752.46,14.13
1/1/18,752.46,736.77,762,717.94,2.13
12/31/17,736.77,682.22,741.99,675.56,8
12/30/17,682.22,731.52,737.56,640.43,-6.74
12/29/17,731.52,711.42,755,703.02,2.83
12/28/17,711.42,736.45,740.3,652,-3.4
12/27/17,736.45,749.8,766.06,703.27,-1.78
12/26/17,749.8,709.81,749.8,708.83,5.63
12/25/17,709.81,659.89,737,651.76,7.56
12/24/17,659.89,672.59,675,560,-1.89
12/23/17,672.59,628.19,717,616.19,7.07
12/22/17,628.19,786.97,792,492.01,-20.18
12/21/17,786.97,794.99,848.08,747.1,-1.01
12/20/17,794.99,799.98,826.2,709,-0.62
12/19/17,799.98,783.99,863,750.01,2.04
12/18/17,783.99,708.78,798.9,660,10.61
12/17/17,708.78,683.25,725,683.24,3.74
12/16/17,683.25,678.29,711.96,672.51,0.73
12/15/17,678.29,686.51,698.31,610,-1.2
12/14/17,686.51,690.69,760,651,-0.61
12/13/17,690.69,634.87,742,573,8.79
12/12/17,634.87,515.25,646.92,497.75,23.22
12/11/17,515.25,429.24,531.2,429.14,20.04
12/10/17,429.24,460.92,460.92,413.3,-6.87
12/9/17,460.92,442.19,487.8,441,4.24
12/8/17,442.19,415.02,453.61,400.34,6.55
12/7/17,415.02,413.71,429,390,0.32
12/6/17,413.71,451.87,454.23,403,-8.44
12/5/17,451.87,465,467.38,444.17,-2.82
12/4/17,465,459.49,471.06,439.27,1.2
12/3/17,459.49,455.51,482.69,431.04,0.87
12/2/17,455.51,460.67,472,447,-1.12
12/1/17,460.67,432.21,467,413.96,6.58
11/30/17,432.21,420.34,454.95,385.4,2.82
11/29/17,420.34,465.56,517,403.01,-9.71
11/28/17,465.56,473.44,479,457.2,-1.66
11/27/17,473.44,464,491.89,458.25,2.03
11/26/17,464,464,464,464,0
11/25/17,464,469.89,481.99,454.4,-1.38
11/24/17,470.51,405.19,478.5,397.37,16.12
11/23/17,405.19,380.48,426.27,374.34,6.49
11/22/17,380.48,360,381.89,358.8,5.69
11/21/17,360,367.94,373.5,350,-2.16
11/20/17,367.94,354.7,373.7,352.03,3.73
11/19/17,354.7,346.68,371,343.28,2.31
11/18/17,346.68,331,350.4,325.32,4.74
11/17/17,331,331.16,335.01,325,0.07
11/16/17,330.76,330.59,335.11,321.18,0.05
11/15/17,330.59,334.28,339.61,321.5,-1.1
11/14/17,334.28,313.22,336.69,313.22,6.72
