Date,Price,Open,High,Low,Change %
1/1/17,4.36,4.51,4.57,4.34,0.23
1/2/17,4.51,4.56,4.9,4.4,3.44
1/3/17,4.56,4.55,4.65,4.42,1.11
1/4/17,4.55,4.55,5.99,4.45,-0.22
1/5/17,4.55,4.23,4.88,3.88,0
1/6/17,4.23,3.88,4.34,3.83,-7.03
1/7/17,3.88,3.98,4.49,3.66,-8.27
1/8/17,3.98,4.03,4.4,3.98,2.58
1/9/17,4.03,4.39,4.4,3.89,1.26
1/10/17,4.39,4.67,4.75,4.04,8.93
1/11/17,4.67,4.02,4.68,3.93,6.38
1/12/17,4.02,4,4.14,3.79,-13.92
1/13/17,4,3.97,4.06,3.9,-0.5
1/14/17,3.97,4,4.25,3.92,-0.75
1/15/17,4,3.96,4.1,3.95,0.76
1/16/17,3.96,3.88,3.98,3.88,-1
1/17/17,3.88,3.93,4.16,3.87,-2.02
1/18/17,3.93,3.89,3.95,3.81,1.29
1/19/17,3.89,3.88,3.96,3.83,-1.02
1/20/17,3.88,3.88,3.95,3.86,-0.26
1/21/17,3.88,3.92,3.93,3.88,0
1/22/17,3.92,3.86,3.97,3.85,1.03
1/23/17,3.86,3.85,3.92,3.83,-1.53
1/24/17,3.85,3.76,3.89,3.76,-0.26
1/25/17,3.76,3.69,3.81,3.65,-2.34
1/26/17,3.69,3.86,3.93,3.68,-1.86
1/27/17,3.86,3.9,3.96,3.79,4.61
1/28/17,3.9,3.87,3.9,3.85,1.04
1/29/17,3.87,3.88,3.9,3.84,-0.77
1/30/17,3.88,4.03,4.09,3.83,0.26
1/31/17,4.03,4.07,4.19,4.03,3.87
2/1/17,4.07,4.08,4.15,3.95,0.99
2/2/17,4.08,4.09,4.11,3.97,0.25
2/3/17,4.09,4.06,4.12,3.91,0.25
2/4/17,4.06,4.02,4.06,3.94,-0.73
2/5/17,4.02,3.97,4.03,3.91,-0.99
2/6/17,3.97,3.97,4.02,3.94,-1.24
2/7/17,3.97,3.98,4.02,3.94,0
2/8/17,3.98,3.96,4.06,3.91,0.25
2/9/17,3.96,3.76,3.99,3.62,-0.5
2/10/17,3.76,3.83,3.89,3.7,-5.05
2/11/17,3.83,3.84,3.88,3.82,1.86
2/12/17,3.84,3.8,3.85,3.77,0.26
2/13/17,3.8,3.78,3.83,3.74,-1.04
2/14/17,3.78,3.82,3.82,3.76,-0.53
2/15/17,3.82,3.89,3.91,3.81,1.06
2/16/17,3.89,3.86,3.92,3.85,1.83
2/17/17,3.86,3.91,3.95,3.85,-0.77
2/18/17,3.91,3.84,3.94,3.8,1.3
2/19/17,3.84,3.81,3.85,3.76,-1.79
2/20/17,3.81,3.81,3.85,3.76,-0.78
2/21/17,3.81,3.85,3.89,3.76,0
2/22/17,3.85,3.89,3.93,3.85,1.05
2/23/17,3.89,3.9,4,3.89,1.04
2/24/17,3.9,3.95,4,3.79,0.26
2/25/17,3.95,3.9,3.98,3.83,1.28
2/26/17,3.9,3.89,3.93,3.84,-1.27
2/27/17,3.89,3.87,3.93,3.85,-0.26
2/28/17,3.87,3.85,3.94,3.81,-0.51
3/1/17,3.85,3.86,3.95,3.8,-0.52
3/2/17,3.86,4.04,4.29,3.8,0.26
3/3/17,4.04,4.07,4.5,4.01,4.66
3/4/17,4.07,4.04,4.14,3.88,0.74
3/5/17,4.04,4.02,4.04,3.85,-0.74
3/6/17,4.02,4.1,4.1,3.96,-0.5
3/7/17,4.1,3.99,4.26,3.9,1.99
3/8/17,3.99,3.86,4.01,3.83,-2.68
3/9/17,3.86,3.92,3.95,3.83,-3.26
3/10/17,3.92,3.8,4.1,3.7,1.55
3/11/17,3.8,3.82,3.95,3.77,-3.06
3/12/17,3.82,3.94,3.95,3.82,0.53
3/13/17,3.94,4.4,4.59,3.89,3.14
3/14/17,4.4,4.19,4.43,4.14,11.68
3/15/17,4.19,4.33,4.45,4.1,-4.77
3/16/17,4.33,4.31,4.61,4.22,3.34
3/17/17,4.31,4.12,4.35,4,-0.46
3/18/17,4.12,4.02,4.43,3.69,-4.41
3/19/17,4.02,3.93,4.12,3.85,-2.43
3/20/17,3.93,4.18,4.2,3.85,-2.24
3/21/17,4.18,4.04,4.2,3.95,6.36
3/22/17,4.04,3.94,4.05,3.81,-3.35
3/23/17,3.94,3.96,4.03,3.9,-2.48
3/24/17,3.96,4.11,4.5,3.93,0.51
3/25/17,4.11,4.09,4.18,3.97,3.79
3/26/17,4.09,4.1,4.12,4.04,-0.49
3/27/17,4.1,4.08,4.19,4.03,0.24
3/28/17,4.08,4.2,4.22,4.07,-0.49
3/29/17,4.2,4.3,4.5,4.12,2.94
3/30/17,4.3,7.89,9.9,4.26,2.38
3/31/17,7.89,7.25,7.9,5.75,83.49
4/1/17,7.25,7.61,7.73,6.65,-8.11
4/2/17,7.61,8.34,8.88,7.03,4.97
4/3/17,8.34,8.61,9.5,7.5,9.59
4/4/17,8.61,9.15,9.78,8.35,3.24
4/5/17,9.15,13,13.75,8.88,6.27
4/6/17,13,10.87,13.19,9.7,42.08
4/7/17,10.87,9.89,11.39,9.39,-16.38
4/8/17,9.89,10.79,11.39,9.83,-9.02
4/9/17,10.79,9.26,10.99,8.57,9.1
4/10/17,9.26,9.87,10.12,8.89,-14.18
4/11/17,9.87,9.71,10.35,9.45,6.59
4/12/17,9.71,11.69,12.23,9.66,-1.62
