Date,Price,Open,High,Low,Change %
1/8/18,2.4,2.77067,2.77067,1.91111,-13.36
1/7/18,2.77,2.65,2.81,2.56,4.53
1/6/18,2.65,2.5,2.85,2.45,6
1/5/18,2.5,2.73,3.05,2.2,-8.42
1/4/18,2.73,2.72,3.28,2.45,0.37
1/3/18,2.72,2.19,2.86,2.15,24.2
1/2/18,2.19,2.03,2.2,1.9,7.88
1/1/18,2.03,1.97,2.1,1.8,3.05
12/31/17,1.97,1.83,2.09,1.5,7.65
12/30/17,1.83,1.92,2.4,1.74,-4.69
12/29/17,1.92,1.24,1.97,1.24,54.84
12/28/17,1.24,1.21,1.29,1.07,2.48
12/27/17,1.21,1.07,1.29,1.06,13.08
12/26/17,1.07,0.972,1.1,0.9621,10.08
12/25/17,0.972,0.9718,1.02,0.9125,0.02
12/24/17,0.9718,0.9856,0.9938,0.8024,-1.4
12/23/17,0.9856,0.988,1.07,0.92,-0.24
12/22/17,0.988,1.09,1.23,0.69,-9.36
12/21/17,1.09,0.7149,1.11,0.714,52.47
12/20/17,0.7149,0.7316,0.746,0.635,-2.28
12/19/17,0.7316,0.7568,0.841,0.6858,-3.33
12/18/17,0.7568,0.712,0.7913,0.66,6.29
12/17/17,0.712,0.74,0.753,0.701,-3.78
12/16/17,0.74,0.7374,0.813,0.72,0.35
12/15/17,0.7374,0.817,0.825,0.6154,-9.74
12/14/17,0.817,0.451,0.847,0.446,81.15
12/13/17,0.451,0.3474,0.4927,0.32,29.82
12/12/17,0.3474,0.245,0.4205,0.24,41.8
12/11/17,0.245,0.2278,0.2504,0.2278,7.55
12/10/17,0.2278,0.2365,0.2376,0.2212,-3.68
12/9/17,0.2365,0.2329,0.245,0.2275,1.55
12/8/17,0.2329,0.2024,0.249,0.2,15.07
12/7/17,0.2024,0.2169,0.22,0.2,-6.69
12/6/17,0.2169,0.2336,0.2342,0.2059,-7.15
12/5/17,0.2336,0.2462,0.2472,0.232,-5.12
12/4/17,0.2462,0.2448,0.25,0.2345,0.57
12/3/17,0.2448,0.2448,0.2598,0.2344,0
12/2/17,0.2448,0.244,0.2495,0.2398,0.33
12/1/17,0.244,0.2372,0.2488,0.225,2.87
11/30/17,0.2372,0.235,0.2477,0.2184,0.94
11/29/17,0.235,0.2795,0.28,0.21,-15.92
